epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,854.664,0.83551,0.68697,1.08996,0.97532,0.97041,0.98397,0.61402,1.40146,0.51423,1.55364,0.000171074,0.000171074,0.000171074
84,866.117,0.78632,0.62279,1.05294,0.96963,0.97112,0.98278,0.62366,1.36468,0.526,1.52248,0.000162075,0.000162075,0.000162075
85,875.099,0.7871,0.64658,1.06044,0.95977,0.94502,0.95775,0.62766,1.37055,0.51552,1.52526,0.000153076,0.000153076,0.000153076
86,886.145,0.75714,0.57765,1.02307,0.98785,0.97557,0.99107,0.63394,1.35145,0.51397,1.55114,0.000144077,0.000144077,0.000144077
87,895.855,0.82185,0.64934,1.0664,0.98373,0.97432,0.99343,0.62198,1.41983,0.51594,1.63181,0.000135077,0.000135077,0.000135077
88,906.01,0.77783,0.60024,1.04486,0.97252,0.97173,0.99214,0.62948,1.37856,0.51546,1.58316,0.000126078,0.000126078,0.000126078
89,917.861,0.77589,0.62954,1.04449,0.97298,0.96582,0.98333,0.61509,1.39919,0.52717,1.58418,0.000117079,0.000117079,0.000117079
90,926.551,0.79066,0.6181,1.05661,0.9708,0.96667,0.98016,0.60401,1.41061,0.54153,1.60641,0.00010808,0.00010808,0.00010808
91,940.404,0.62599,0.40378,0.99397,0.93914,0.93544,0.9623,0.59855,1.42655,0.52022,1.64236,9.9081e-05,9.9081e-05,9.9081e-05
92,948.539,0.58342,0.37774,0.95379,0.97836,0.97065,0.99343,0.6084,1.39762,0.51187,1.62523,9.00819e-05,9.00819e-05,9.00819e-05
93,959.483,0.57739,0.35757,0.97834,0.97616,0.95556,0.98962,0.61604,1.39797,0.51536,1.62457,8.10828e-05,8.10828e-05,8.10828e-05
94,967.418,0.58831,0.36664,0.95813,0.98772,0.97053,0.99343,0.61245,1.37837,0.5091,1.60614,7.20837e-05,7.20837e-05,7.20837e-05
95,978.727,0.55335,0.35118,0.954,0.98122,0.97125,0.99343,0.62292,1.36451,0.50225,1.58138,6.30846e-05,6.30846e-05,6.30846e-05
96,986.762,0.53746,0.34906,0.95236,0.97741,0.97296,0.99186,0.61747,1.35724,0.51908,1.58753,5.40855e-05,5.40855e-05,5.40855e-05
97,997.269,0.53868,0.34173,0.95152,0.9781,0.97172,0.99343,0.62447,1.36954,0.51225,1.5979,4.50864e-05,4.50864e-05,4.50864e-05
98,1005.6,0.53221,0.34082,0.92504,0.97617,0.97136,0.99214,0.62071,1.38487,0.51066,1.61118,3.60873e-05,3.60873e-05,3.60873e-05
99,1016.03,0.52307,0.33475,0.94674,0.97475,0.97133,0.99214,0.61171,1.39531,0.52106,1.63159,2.70882e-05,2.70882e-05,2.70882e-05
100,1025.23,0.51938,0.34364,0.93945,0.97753,0.97135,0.98714,0.61392,1.39207,0.51728,1.63323,1.80891e-05,1.80891e-05,1.80891e-05
